"Date","Original","Log","DiffLog"
Jan 1990,45.43,3.81617267977131,NA
Feb 1990,53.99,3.9887988442302,0.172626164458884
Mar 1990,52.17,3.9545076170343,-0.0342912271958942
Apr 1990,46.43,3.83794580203183,-0.116561815002471
May 1990,52.54,3.96157478425739,0.123628982225564
Jun 1990,49.5,3.90197266957464,-0.059602114682749
Jul 1990,47.38,3.85820019873064,-0.0437724708440053
Aug 1990,55.09,4.00896821148462,0.150768012753985
Sep 1990,51.99,3.95105139239562,-0.0579168190890003
Oct 1990,58.61,4.07090533048834,0.119853938092713
Nov 1990,55.59,4.01800332896538,-0.05290200152296
Dec 1990,58.33,4.06611654076555,0.0481132118001684
Jan 1991,60.9,4.10923317471585,0.0431166339503051
Feb 1991,54.5,3.9982007016692,-0.111032473046653
Mar 1991,58.93,4.07635029884982,0.0781495971806234
Apr 1991,70.08,4.24963744662814,0.173287147778314
May 1991,59.36,4.08362059885912,-0.166016847769011
Jun 1991,61.82,4.12422693670397,0.0406063378448458
Jul 1991,68.19,4.22229792653256,0.0980709898285905
Aug 1991,65.14,4.17653879984809,-0.0457591266844739
Sep 1991,69.73,4.24463064123292,0.0680918413848319
Oct 1991,63.66,4.15355642185395,-0.0910742193789726
Nov 1991,65.42,4.18082802211024,0.0272716002562916
Dec 1991,67.77,4.21611961914802,0.0352915970377836
Jan 1992,70.29,4.25262954118781,0.0365099220397926
Feb 1992,70.62,4.25731339050024,0.00468384931242571
Mar 1992,66.3,4.19418989719182,-0.0631234933084235
Apr 1992,68.8,4.2312037449393,0.0370138477474811
May 1992,70.75,4.25915253652335,0.0279487915840493
Jun 1992,68.61,4.2284382967028,-0.0307142398205471
Jul 1992,63.26,4.1472532178775,-0.081185078825297
Aug 1992,66.09,4.19101744948236,0.0437642316048583
Sep 1992,79.74,4.37877134195321,0.187753892470848
Oct 1992,65.03,4.17484870188106,-0.203922640072149
Nov 1992,69.37,4.23945449739721,0.0646057955161492
Dec 1992,69.37,4.23945449739721,0
Jan 1993,71.3,4.26689632742025,0.0274418300230401
Feb 1993,69.45,4.24060706920035,-0.0262892582198972
Mar 1993,72.2,4.27944004589878,0.0388329766984281
Apr 1993,70.53,4.25603815122009,-0.0234018946786927
May 1993,67.08,4.20588593695501,-0.0501522142650801
Jun 1993,73.72,4.30027413280162,0.094388195846614
Jul 1993,72.69,4.28620382349654,-0.0140703093050778
Aug 1993,67.8,4.21656219494635,-0.0696416285501948
Sep 1993,67.82,4.21685713669749,0.000294941751143085
Oct 1993,71.55,4.27039650600246,0.0535393693049677
Nov 1993,72.2,4.27944004589878,0.00904353989632067
Dec 1993,67.06,4.20558774103808,-0.073852304860698
Jan 1994,67.33,4.20960590255719,0.00401816151910683
Feb 1994,68.86,4.23207545791038,0.0224695553531884
Mar 1994,73.14,4.29237541272123,0.0602999548108567
Apr 1994,60.22,4.09800452305359,-0.194370889667647
May 1994,69.55,4.24204591836945,0.144041395315864
Jun 1994,67.98,4.21921354426797,-0.0228323741014815
Jul 1994,88.77,4.48604875508023,0.266835210812258
Aug 1994,79.39,4.37437241573702,-0.111676339343206
Sep 1994,76.59,4.3384665199215,-0.0359058958155201
Oct 1994,80.64,4.38999480432306,0.0515282844015568
Nov 1994,79.01,4.36957442673464,-0.0204203775884162
Dec 1994,79.35,4.37386844697242,0.0042940202377757
Jan 1995,81.33,4.39851495217868,0.0246465052062659
Feb 1995,88.54,4.48345442730399,0.084939475125311
Mar 1995,85.48,4.44828243045095,-0.0351719968530482
Apr 1995,88.74,4.48571074595076,0.0374283154998167
May 1995,93.32,4.53603444715323,0.0503237012024655
Jun 1995,81,4.39444915467244,-0.14158529248079
Jul 1995,97.59,4.58077502915337,0.18632587448093
Aug 1995,86.13,4.45585778280108,-0.124917246352287
Sep 1995,80.23,4.38489750976556,-0.0709602730355181
Oct 1995,83.71,4.42735844467196,0.0424609349064005
Nov 1995,84.89,4.44135630074988,0.0139978560779115
Dec 1995,89.21,4.49099314092569,0.0496368401758156
Jan 1996,82.74,4.41570316103327,-0.0752899798924265
Feb 1996,87.09,4.46694206670465,0.0512389056713829
Mar 1996,88.51,4.48311553998079,0.0161734732761376
Apr 1996,101.96,4.62458057950791,0.141465039527128
May 1996,99.17,4.59683554919803,-0.0277450303098803
Jun 1996,105.59,4.65956366981842,0.0627281206203891
Jul 1996,80.02,4.38227660342909,-0.277287066389334
Aug 1996,79.08,4.37045999830242,-0.0118166051266728
Sep 1996,85.49,4.44839941003814,0.0779394117357262
Oct 1996,84.52,4.43698819274786,-0.011411217290286
Nov 1996,84.7,4.43911560165801,0.00212740891015262
Dec 1996,89.44,4.49356800940679,0.05445240774878
Jan 1997,94.76,4.55134737929058,0.0577793698837956
